Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Sat Apr 02 17:30:00 BST 2011
Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
Sat Apr 02 09:48:09 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:10 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:11 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:12 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:13 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:14 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:15 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:16 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:17 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:18 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:19 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:20 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:21 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:22 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:23 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:24 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:25 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:26 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
